"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "XML", "Markdown", "JSON", "TypeScript JSX", "YAML", "CSS", "comment", "blank", "total"
"c:\aspirants-nextjs-auth\.eslintrc.json", "JSON", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\aspirants-nextjs-auth\LICENSE.md", "Markdown", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 5, 22
"c:\aspirants-nextjs-auth\README.md", "Markdown", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 29, 98
"c:\aspirants-nextjs-auth\app\(public)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 115, 0, 0, 7, 11, 133
"c:\aspirants-nextjs-auth\app\(public)\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 174, 0, 0, 0, 17, 191
"c:\aspirants-nextjs-auth\app\BrowseResources\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 102, 0, 0, 4, 6, 112
"c:\aspirants-nextjs-auth\app\BrowseResources\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 220, 0, 0, 0, 7, 227
"c:\aspirants-nextjs-auth\app\Contact\animated-tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 88, 0, 0, 2, 3, 93
"c:\aspirants-nextjs-auth\app\Contact\background.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 117, 0, 0, 3, 11, 131
"c:\aspirants-nextjs-auth\app\Contact\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 0, 4, 2, 42
"c:\aspirants-nextjs-auth\app\Contact\contact.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 227, 0, 0, 0, 13, 240
"c:\aspirants-nextjs-auth\app\Contact\featured-testimonials.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 2, 56
"c:\aspirants-nextjs-auth\app\Contact\horizontal-gradient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 3, 51
"c:\aspirants-nextjs-auth\app\Contact\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 102, 0, 0, 4, 6, 112
"c:\aspirants-nextjs-auth\app\Contact\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 2, 35
"c:\aspirants-nextjs-auth\app\Contact\password.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 6, 48
"c:\aspirants-nextjs-auth\app\CustomQuestionBank\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 102, 0, 0, 4, 6, 112
